"Arrival_Time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"16:20","AI","Air India","Udaipur","UDR","Udaipur","AI2594","1h 40m"
"16:20","QP","Akasa Air","Darbhanga Airport","DBR","Darbhanga","QP1140","2h 40m"
"16:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6022","2h 25m"
"16:30","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E5227","2h 45m"
"16:30","AI","Air India","Goa","GOI","Goa","AI2478","1h 35m"
"16:35","6E","IndiGo","Raipur","RPR","Raipur","6E6110","1h 40m"
"16:35","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2441","2h 25m"
"16:40","6E","IndiGo","Chennai International","MAA","Chennai","6E5371","1h 55m"
"16:40","AI","Air India","Lucknow","LKO","Lucknow","AI2492","2h 30m"
"17:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6318","2h 15m"
"17:00","QP","Akasa Air","Mopa Airport","GOX","Goa","QP1106","1h 25m"
"17:00","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG280","2h 25m"
"17:05","6E","IndiGo","Mangalore","IXE","Mangalore","6E674","1h 45m"
"17:10","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1604","4h 50m"
"17:10","AI","Air India","Srinagar","SXR","Srinagar","AI2662","3h 20m"
"17:10","QP","Akasa Air","Phuket International Airport","HKT","Phuket","QP619","4h 50m"
"17:15","6E","IndiGo","Jammu","IXJ","Jammu","6E5155","2h 55m"
"17:15","IX","Air India Express","Ahmedabad Airport","AMD","Ahmedabad","IX2387","1h 35m"
"17:25","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E5271","1h 5m"
"17:25","AI","Air India","Dehradun","DED","Dehra Dun","AI432","2h 30m"
"17:25","AI","Air India","Sir Seewoosagur Ramgoolam International","MRU","Mauritius","AI2242","6h 20m"
"17:30","6E","IndiGo","Male International Airport","MLE","Male","6E1132","2h 50m"
"17:35","AI","Air India","Bhuj","BHJ","Bhuj","AI2754","1h 35m"
"17:40","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E2389","1h 25m"
"17:40","6E","IndiGo","Mangalore","IXE","Mangalore","6E6523","1h 45m"
"17:40","6E","IndiGo","Tribhuvan International","KTM","Kathmandu","6E1158","2h 45m"
"17:40","EK","Emirates","Dubai International Airport","DXB","Dubai","EK502","3h 10m"
"17:40","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX2373","2h 30m"
"17:45","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5031","1h 45m"
"17:45","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E864","2h 15m"
"17:50","6E","IndiGo","Goa","GOI","Goa","6E5231","1h 20m"
"17:50","NH","ANA","Narita International Airport","NRT","Tokyo","NH829","10h 5m"
"17:55","AI","Air India","Suvarnabhumi Airport","BKK","Bangkok","AI2353","4h 40m"
"17:55","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2933","2h 25m"
"18:05","6E","IndiGo","Adampur Airport","AIP","Adampur","6E5932","2h 20m"
"18:10","6E","IndiGo","Gwalior","GWL","Gwalior","6E5265","1h 55m"
"18:10","6E","IndiGo","Kanpur","KNU","Kanpur","6E2036","2h 0m"
