"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"17:00","QP","Akasa Air","Bhubaneshwar","BBI","Bhubaneswar","QP1503","2h 15m"
"17:05","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E223","2h 50m"
"17:10","6E","IndiGo","Rajahmundry","RJA","Rajahmundry","6E7231","2h 5m"
"17:10","IX","Air India Express","Chennai International","MAA","Chennai","IX2505","1h 10m"
"17:15","6E","IndiGo","Bhopal","BHO","Bhopal","6E6465","2h 10m"
"17:15","6E","IndiGo","Chennai International","MAA","Chennai","6E356","0h 55m"
"17:15","6E","IndiGo","Nagpur","NAG","Nagpur","6E6891","1h 50m"
"17:15","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2506","1h 25m"
"17:20","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5255","1h 45m"
"17:30","6E","IndiGo","Raipur","RPR","Raipur","6E978","1h 50m"
"17:35","IX","Air India Express","Pune","PNQ","Pune","IX2913","1h 45m"
"17:40","6E","IndiGo","Goa","GOI","Goa","6E6168","1h 15m"
"17:45","6E","IndiGo","Birsa Munda","IXR","Ranchi","6E221","2h 25m"
"17:45","QP","Akasa Air","Lucknow","LKO","Lucknow","QP1567","2h 30m"
"17:50","IX","Air India Express","Patna","PAT","Patna","IX1504","2h 35m"
"17:55","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E747","1h 55m"
"18:00","6E","IndiGo","Cochin","COK","Kochi","6E144","1h 5m"
"18:00","6E","IndiGo","Varanasi","VNS","Varanasi","6E738","2h 25m"
"18:05","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2854","2h 0m"
"18:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6034","2h 50m"
"18:15","6E","IndiGo","Chennai International","MAA","Chennai","6E6017","1h 0m"
"18:15","IX","Air India Express","Lucknow","LKO","Lucknow","IX1541","2h 40m"
"18:20","6E","IndiGo","Jaipur","JAI","Jaipur","6E6141","2h 30m"
"18:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2802","2h 45m"
"18:25","IX","Air India Express","Navi Mumbai International Airport","NMI","Mumbai","IX1581","1h 45m"
"18:30","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E676","2h 40m"
"18:30","QF","Qantas","Kingsford Smith International Airport","SYD","Sydney","QF68","11h 15m"
"18:35","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E638","1h 10m"
"18:45","6E","IndiGo","Pune","PNQ","Pune","6E105","1h 30m"
"18:45","IC","Fly91","Hubli Airport","HBX","Hubli","IC3412","1h 30m"
"18:50","6E","IndiGo","Mangalore","IXE","Mangalore","6E6162","0h 55m"
"18:55","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E411","2h 5m"
